language	country	num_results	lang_gdp	lang_pop	country_gdp	country_pop	distance
ru	AO	897	15434.3521458	169970806.32	5894.617	18056072.0	10747.0613828
ru	BI	62	15434.3521458	169970806.32	614.52	10557259.0	9258.06025115
ru	BJ	56	15434.3521458	169970806.32	1481.063	9598787.0	9523.09137754
ru	BF	110	15434.3521458	169970806.32	1466.143	17275115.0	9413.79789027
ru	BW	98	15434.3521458	169970806.32	16029.809	2098018.0	11373.8251029
ru	CF	17	15434.3521458	169970806.32	767.615	5057208.0	8725.90034146
ru	CI	96	15434.3521458	169970806.32	1589.83	21952093.0	10059.2647818
ru	CM	163	15434.3521458	169970806.32	2257.125	20129878.0	9321.83501181
ru	CG	328	15434.3521458	169970806.32	4589.098	4366266.0	9829.30399951
ru	ER	95	15434.3521458	169970806.32	735.471	6086495.0	6976.69657282
ru	ET	849	15434.3521458	169970806.32	1092.629	93815992.0	7711.60662425
ru	GA	74	15434.3521458	169970806.32	1943.429	1840454.0	10009.71181
ru	GH	602	15434.3521458	169970806.32	3083.293	25241998.0	9898.62092959
ru	GN	119	15434.3521458	169970806.32	1082.635	10884958.0	10027.3994624
ru	GA	42	15434.3521458	169970806.32	1943.429	1840454.0	10009.71181
ru	GW	9	15434.3521458	169970806.32	1144.064	1628603.0	10180.448095
ru	KE	2400	15434.3521458	169970806.32	1745.962	43013341.0	8401.57625377
ru	LR	175	15434.3521458	169970806.32	456.442	3887886.0	10443.0658207
ru	LS	30	15434.3521458	169970806.32	1959.77	1930493.0	11886.9204617
ru	MG	106	15434.3521458	169970806.32	933.598	22585517.0	10096.325167
ru	ML	116	15434.3521458	169970806.32	1127.518	14533511.0	9131.44655087
ru	MZ	104	15434.3521458	169970806.32	1084.899	23515934.0	10460.5315801
ru	MR	100	15434.3521458	169970806.32	2178.628	3359185.0	9242.85397608
ru	MU	76	15434.3521458	169970806.32	14954.0	1313095.0	9719.03463707
ru	MW	83	15434.3521458	169970806.32	859.851	16323044.0	10038.8561442
ru	NA	142	15434.3521458	169970806.32	7363.177	2165828.0	11739.2636116
ru	NE	107	15434.3521458	169970806.32	771.08	17078839.0	8584.41589904
ru	NG	2640	15434.3521458	169970806.32	2578.249	170123740.0	9159.27683146
ru	RW	149	15434.3521458	169970806.32	1340.532	11689696.0	9111.13426593
ru	SD	2000	15434.3521458	169970806.32	2726.416	34206710.0	7366.5553748
ru	SN	181	15434.3521458	169970806.32	1870.988	12969606.0	9933.04021128
ru	SL	119	15434.3521458	169970806.32	848.816	5485998.0	10350.0869413
ru	TD	847	15434.3521458	169970806.32	1865.12	10975648.0	8070.91012476
ru	TZ	184	15434.3521458	169970806.32	1514.885	43601796.0	9246.47032495
ru	UG	145	15434.3521458	169970806.32	1317.258	35873253.0	8561.30007537
ru	ZA	1960	15434.3521458	169970806.32	10973.006	48810427.0	12043.9475552
ru	CD	366	15434.3521458	169970806.32	348.098	73599190.0	9183.63865497
ru	ZM	96	15434.3521458	169970806.32	1610.722	14309466.0	10386.6603711
ru	ZW	1760	15434.3521458	169970806.32	487.197	12619600.0	10828.8975152
ru	AF	3280	15434.3521458	169970806.32	956.448	30419928.0	3891.22268016
ru	BD	703	15434.3521458	169970806.32	1692.957	161083804.0	4078.9138727
ru	BT	78	15434.3521458	169970806.32	6112.043	716896.0	3686.48570021
ru	IN	9220	15434.3521458	169970806.32	3693.529	1205073612.0	4807.68551882
ru	LK	562	15434.3521458	169970806.32	5673.689	21481334.0	6108.29284911
ru	NP	878	15434.3521458	169970806.32	1327.999	29890686.0	3760.00733157
ru	PK	5010	15434.3521458	169970806.32	2786.946	190291129.0	4015.15016384
ru	CA	7460	15434.3521458	169970806.32	40541.093	34300083.0	6602.28903282
ru	US	93224	15434.3521458	169970806.32	48386.686	313847465.0	8787.8231298
ru	AE	2065	15434.3521458	169970806.32	48157.836	5314317.0	5335.47510556
ru	DZ	1870	15434.3521458	169970806.32	7333.226	35406303.0	7713.0138905
ru	EG	2890	15434.3521458	169970806.32	6539.844	83688164.0	6333.26393367
ru	IR	15500	15434.3521458	169970806.32	13053.422	78868711.0	4624.19267257
ru	IQ	12200	15434.3521458	169970806.32	3885.623	31129225.0	5013.86492909
ru	IL	21500	15434.3521458	169970806.32	30975.092	7590758.0	5659.09935038
ru	JO	182	15434.3521458	169970806.32	5899.677	6508887.0	5634.95442048
ru	KW	1520	15434.3521458	169970806.32	41690.642	2646314.0	5132.35582485
ru	LB	2690	15434.3521458	169970806.32	15522.766	4140289.0	5389.99197026
ru	LY	2640	15434.3521458	169970806.32	5786.653	6733620.0	7239.74183762
ru	MA	1030	15434.3521458	169970806.32	5052.25	32309239.0	7737.4754436
ru	OM	628	15434.3521458	169970806.32	26519.429	3090150.0	5486.60516643
ru	QA	2000	15434.3521458	169970806.32	102943.321	1951591.0	5328.2109811
ru	SA	4390	15434.3521458	169970806.32	24237.401	26534504.0	5700.58555058
ru	TN	662	15434.3521458	169970806.32	9477.511	10732900.0	6841.48934049
ru	YE	912	15434.3521458	169970806.32	2306.695	24771809.0	6490.13521944
ru	AR	3530	15434.3521458	169970806.32	17516.147	42192494.0	16904.0674825
ru	BO	898	15434.3521458	169970806.32	4789.212	10290003.0	15088.1269995
ru	BR	7500	15434.3521458	169970806.32	11769.411	205716890.0	14085.0977369
ru	CL	1560	15434.3521458	169970806.32	17221.689	17067369.0	16617.1395944
ru	CO	2880	15434.3521458	169970806.32	10248.589	45239079.0	12868.2870719
ru	CR	85	15434.3521458	169970806.32	11927.454	4636348.0	12227.148723
ru	DO	560	15434.3521458	169970806.32	9286.724	10088598.0	11193.6053827
ru	EC	1410	15434.3521458	169970806.32	8492.429	15223680.0	13566.4661967
ru	GT	177	15434.3521458	169970806.32	5069.694	14099032.0	11572.9518805
ru	HN	138	15434.3521458	169970806.32	4345.148	8296693.0	11658.6579846
ru	HT	723	15434.3521458	169970806.32	1234.953	9801664.0	11207.3799894
ru	JM	170	15434.3521458	169970806.32	9029.301	2889187.0	11314.6937381
ru	MX	3580	15434.3521458	169970806.32	14609.77	114975406.0	10574.5100515
ru	NI	1200	15434.3521458	169970806.32	3205.615	5727707.0	11889.2411509
ru	PA	738	15434.3521458	169970806.32	14096.703	3510045.0	12346.5114885
ru	PE	1740	15434.3521458	169970806.32	10062.44	29549517.0	14449.9060299
ru	PY	198	15434.3521458	169970806.32	5412.699	6541591.0	15562.2187775
ru	SV	175	15434.3521458	169970806.32	7549.79	6090646.0	11770.0028277
ru	UY	171	15434.3521458	169970806.32	15112.562	3316328.0	16543.4875314
ru	VE	5710	15434.3521458	169970806.32	12568.029	28047938.0	12356.9663349
ru	AL	1660	15434.3521458	169970806.32	7741.428	3002859.0	5636.80005692
ru	AM	16000	15434.3521458	169970806.32	5384.089	2970495.0	4345.88711612
ru	AT	7490	15434.3521458	169970806.32	41822.0	8219743.0	5446.54072758
ru	AZ	19500	15434.3521458	169970806.32	10201.604	9493600.0	4165.48245598
ru	BE	5190	15434.3521458	169970806.32	37736.857	10438353.0	5597.65018411
ru	BG	5970	15434.3521458	169970806.32	13597.403	7037935.0	5199.21551726
