language	country	num_results	lang_gdp	lang_pop	country_gdp	country_pop	distance
ko	AO	13901	31713.669	48860500.0	5894.617	18056072.0	18896.1559272
ko	BI	1501	31713.669	48860500.0	614.52	10557259.0	17283.9199767
ko	BJ	200	31713.669	48860500.0	1481.063	9598787.0	18698.4394566
ko	BF	527	31713.669	48860500.0	1466.143	17275115.0	18727.8958235
ko	BW	2721	31713.669	48860500.0	16029.809	2098018.0	18994.5070209
ko	CF	668	31713.669	48860500.0	767.615	5057208.0	17354.8042689
ko	CI	6851	31713.669	48860500.0	1589.83	21952093.0	19362.2561527
ko	CM	9061	31713.669	48860500.0	2257.125	20129878.0	18185.8741089
ko	CG	965	31713.669	48860500.0	4589.098	4366266.0	18433.2163753
ko	ER	162	31713.669	48860500.0	735.471	6086495.0	15256.4574556
ko	ET	4221	31713.669	48860500.0	1092.629	93815992.0	15805.1274492
ko	GA	1051	31713.669	48860500.0	1943.429	1840454.0	18712.9985728
ko	GH	31901	31713.669	48860500.0	3083.293	25241998.0	19141.078052
ko	GN	1281	31713.669	48860500.0	1082.635	10884958.0	19452.6928365
ko	GA	1701	31713.669	48860500.0	1943.429	1840454.0	18712.9985728
ko	GW	52	31713.669	48860500.0	1144.064	1628603.0	19681.1335309
ko	KE	20801	31713.669	48860500.0	1745.962	43013341.0	16272.3342202
ko	LR	871	31713.669	48860500.0	456.442	3887886.0	19810.7524699
ko	LS	109	31713.669	48860500.0	1959.77	1930493.0	19062.572445
ko	MG	910	31713.669	48860500.0	933.598	22585517.0	16906.6619162
ko	ML	4801	31713.669	48860500.0	1127.518	14533511.0	18527.7243945
ko	MZ	3531	31713.669	48860500.0	1084.899	23515934.0	17807.4392516
ko	MR	137	31713.669	48860500.0	2178.628	3359185.0	18763.6862419
ko	MU	210	31713.669	48860500.0	14954.0	1313095.0	16075.0079439
ko	MW	5721	31713.669	48860500.0	859.851	16323044.0	17588.3282614
ko	NA	641	31713.669	48860500.0	7363.177	2165828.0	19609.0331935
ko	NE	1451	31713.669	48860500.0	771.08	17078839.0	17746.0683222
ko	NG	44001	31713.669	48860500.0	2578.249	170123740.0	18210.8226387
ko	RW	1451	31713.669	48860500.0	1340.532	11689696.0	17183.5708428
ko	SD	1	31713.669	48860500.0	2726.416	34206710.0	15964.817329
ko	SN	11801	31713.669	48860500.0	1870.988	12969606.0	19436.1276373
ko	SL	561	31713.669	48860500.0	848.816	5485998.0	19773.4217985
ko	TD	1021	31713.669	48860500.0	1865.12	10975648.0	16951.7282529
ko	TG	5001	31713.669	48860500.0	898.663	6961049.0	18901.0720557
ko	TZ	9271	31713.669	48860500.0	1514.885	43601796.0	17006.3739069
ko	UG	2151	31713.669	48860500.0	1317.258	35873253.0	16648.9995575
ko	ZA	27001	31713.669	48860500.0	10973.006	48810427.0	19278.6882134
ko	CD	588	31713.669	48860500.0	348.098	73599190.0	17490.8595945
ko	ZM	5301	31713.669	48860500.0	1610.722	14309466.0	18036.5206188
ko	ZW	8801	31713.669	48860500.0	487.197	12619600.0	18375.9696845
ko	AF	26301	31713.669	48860500.0	956.448	30419928.0	11896.2800726
ko	BD	15301	31713.669	48860500.0	1692.957	161083804.0	10216.3147146
ko	BT	1	31713.669	48860500.0	6112.043	716896.0	9985.02832754
ko	IN	302001	31713.669	48860500.0	3693.529	1205073612.0	11590.3955997
ko	LK	18001	31713.669	48860500.0	5673.689	21481334.0	12129.9914686
ko	NP	12401	31713.669	48860500.0	1327.999	29890686.0	10536.9755724
ko	PK	20501	31713.669	48860500.0	2786.946	190291129.0	11682.8651643
ko	CA	228001	31713.669	48860500.0	40541.093	34300083.0	14894.6181217
ko	US	926001	31713.669	48860500.0	48386.686	313847465.0	16638.5788271
ko	AE	37101	31713.669	48860500.0	48157.836	5314317.0	13394.7448322
ko	DZ	11101	31713.669	48860500.0	7333.226	35406303.0	17130.1918977
ko	EG	28401	31713.669	48860500.0	6539.844	83688164.0	15228.073339
